"interaction_type","consumer_species","consumer_metab","consumer_mass","resource_species","resource_metab","resource_mass"
"herbivorous","Bacteria",false,1.0e-8,"Phytoplankton",false,0.0001
"predacious","Benthic carnivores",false,10,"Benthic filter feeders",false,10
"herbivorous","Microzooplankton",false,0.0001,"Phytoplankton",false,0.0001
"predacious","Microzooplankton",false,0.0001,"Microzooplankton",false,0.0001
"herbivorous","Mesozooplankton",false,0.01,"Phytoplankton",false,0.0001
"predacious","Mesozooplankton",false,0.01,"Microzooplankton",false,0.0001
"herbivorous","Macrozooplankton",false,1,"Phytoplankton",false,0.0001
"predacious","Macrozooplankton",false,1,"Mesozooplankton",false,0.01
"predacious","Macrozooplankton",false,1,"Macrozooplankton",false,1
"herbivorous","Gelatinous zooplankton",false,100,"Phytoplankton",false,0.0001
"predacious","Gelatinous zooplankton",false,100,"Microzooplankton",false,0.0001
"predacious","Gelatinous zooplankton",false,100,"Macrozooplankton",false,1
"herbivorous","Anchovy",true,11.5,"Phytoplankton",false,0.0001
"predacious","Anchovy",true,11.5,"Microzooplankton",false,0.0001
"predacious","Anchovy",true,11.5,"Macrozooplankton",false,1
"herbivorous","Pilchard",true,280,"Phytoplankton",false,0.0001
"predacious","Pilchard",true,280,"Macrozooplankton",false,1
"predacious","Round herring",true,215.2,"Macrozooplankton",false,1
"predacious","Lightfish",true,4.8,"Macrozooplankton",false,1
"predacious","Lanternfish",true,6.9,"Macrozooplankton",false,1
"herbivorous","Goby",true,18.6,"Phytoplankton",false,0.0001
"predacious","Goby",true,18.6,"Macrozooplankton",false,1
"predacious","Other pelagics",true,2554.85,"Benthic carnvores",false,10
"predacious","Other pelagics",true,2554.85,"Macrozooplankton",false,1
"predacious","Other pelagics",true,2554.85,"Gelatinous zooplankton",false,100
"predacious","Horse mackerel",true,5104.9,"Lanternfish",true,6.9
"predacious","Horse mackerel",true,5104.9,"Benthic carnivores",false,10
"predacious","Horse mackerel",true,5104.9,"Macrozooplankton",false,1
"predacious","Chub mackerel",true,3259.5,"Lanternfish",true,6.9
"predacious","Chub mackerel",true,3259.5,"Benthic carnivores",false,10
"predacious","Chub mackerel",true,3259.5,"Macrozooplankton",false,1
"predacious","Chub mackerel",true,3259.5,"Round herring",true,215.2
"predacious","Other groundfish",true,13127,"Round herring",true,215.2
"predacious","Other groundfish",true,13127,"Lightfish",true,4.8
"predacious","Other groundfish",true,13127,"Lanternfish",true,6.9
"predacious","Other groundfish",true,13127,"Goby",true,18.6
"predacious","Other groundfish",true,13127,"Other pelagics",true,2554.85
"predacious","Other groundfish",true,13127,"Other groundfish",true,13127
"predacious","Other groundfish",true,13127,"Hakes",true,22994.5
"predacious","Other groundfish",true,13127,"Squid",false,40
"predacious","Other groundfish",true,13127,"Benthic carnivores",false,10
"predacious","Other groundfish",true,13127,"Mesozooplankton",false,0.01
"predacious","Other groundfish",true,13127,"Macrozooplankton",false,1
